DarkChicken,0,12/6/2010,Điểm excercise 4!,"Xin xem lại điểm em ex 4 em học T3 tiết 1-3 402C6 , có đi học và nộp bài đầy đủ mà 0 diem MSSv : 50801536 - Phạm Anh Quốc Phiên"
X Man,0,12/27/2010,Thắc mắc điểm lab 7,"Em học bù vào sáng thứ 3 , tiết 5-6 , sao em bị 0 điểm vậy thầy MSSV : 50801132"
Sang Nguyen Van,0,12/27/2010,Điểm Lab6,"Tên: Nguyễn Văn Sang MSSV: 50404483 Lớp thực hành: 101B1, GD - Thầy: Trần Vĩnh Tân Thầy xem lại cho em điểm lab 6 cho e với"
Sang Nguyen Van,0,12/27/2010,Re:Điểm Lab6,Cảm ơn thầy!
le phuc,0,12/27/2010,Re:Điểm Lab6,"Tên : Lê Duy Phúc MSSV : 50502092 Lớp thực hành: 101B1, GD - Thầy: Trần Vĩnh Tân Xin thầy xem lại cho em điểm lab 6 cho em với"
Duy Nguyen Khanh,0,12/27/2010,Lab 7 có điểm hok mọi người ?,Lab 7 mấy pồ có điểm hok ? Của mình chỉ có dấu gạch (-) là sao vậy ta ?
TT_C,0,12/22/2010,Thắc mắc diem Lab6,Dạ em tên : Trương Vũ Minh Trí MSSV : 50802348 Học tiết 12 sáng thứ 3. Lab6 em có làm bài đầy đủ và làm đúng bài trên lớp thì sao được có 5d ạh ? Xin thầy xem lại giúp em Em xin cảm ơn nhìu !
pirent--,0,12/27/2010,Lab 7 có điểm hok mọi người ?,"lab7 chưa hỏi thầy dc j, đã bị thầy hành cho 2 bài reverse list vs eval e. CUối h thầy cho ăn hành tập 2: ai vô trễ 5d"
Nguyen Pham Luan Tien,0,12/27/2010,Lab 7 có điểm hok mọi người ?,"em có đi học sao lab 7 bị 0đ thầy xem lại giúp em mssv: 50702449,"
X Man,0,12/28/2010,Re:Lab 7 có điểm hok mọi người ?,"Em học bù vào sáng thứ 3 , tiết 5-6 , sao em bị 0 điểm vậy thầy MSSV : 50801132"
Nguyen Pham Luan Tien,0,12/28/2010,Lab 7 có điểm hok mọi người ?,"em học tiết 3,4 sáng T2"
25251325,0,1/1/2011,Re:Lab 7 có điểm hok mọi người ?,"Thưa thầy, sao exer5 của em và Lab6 của em lại bị 0 điểm vậy thầy. Lab 6 em có đi học và nộp bài, còn exer5 em đi học bù vào thứ 3 tiết 34, em không biêt tên thầy đó, nhưng em đã nói với thầy đó và thầy đó cũng đã đồng ý rồi,mong thầy xem xét lại giúp em. Em chi nghĩ hôm Lab7 thôi ah MSSV của em: 50802643 Thanks thầy"
TT_C,0,12/24/2010,Re:Thắc mắc diem Lab6,"Em post trên forum này nhưng thầy không vào reply chắc do bận bên forum Ass2 nên em mới post tạm bên forum Ass2 cho thầy biết, thế mà thầy del bài cũng như hok reply ở đây cho em, cái này là yêu cầu chính đáng mà !"
TT_C,0,12/24/2010,Thắc mắc diem Lab6,"Thang Duong Chi wrote: Lab6 có 2 phần: bài trên lớp và bài vẽ cây AST. Bài vẽ cây AST bạn bị sai ở chỗ programAST -> decl_list nên bài vẽ cây AST bạn bị 0 điểm. Do bạn có làm bài trên lớp nên được 5 điểm. Nếu theo anh nói vậy thì em nghĩ là phải có 3 phần chứ nhỉ ? Phần làm bài ở nhà, phần bài trên lớp và phần vẽ cây AST. Nếu phần ở nhà không chấm thì em chả ngồi mà viết 2 cặp giấy để nộp cả ! Nếu vậy thì cần gì phải làm bài ở nhà đâu, làm sơ sơ đủ để lên lớp nộp đại và làm bài được rồi ! Còn nếu chấm phần làm bài ở nhà thì em cũng đúng được 2 phần rồi sao được 5d ??? Cây AST nếu chấm khắt khe wá thì đúng là sai ( chứ em nghĩ là cũng đúng được một phần, làm j sai hết được ) Mong anh có câu trả lời hợp lý hơn ạh ! Em xin cảm ơn !"
TT_C,0,12/25/2010,Thắc mắc diem Lab6,Tân Trần Vĩnh wrote: Đối với những buổi Lab có làm bài tập ngay trên lớp thì chúng tôi sẽ chấm điểm tại lớp. Nộp bài trước buổi học chỉ mang tính điểm danh và kiểm tra xem các bạn có chuẩn bị bài ở nhà hay không thôi. Nếu thầy nói vậy thì em chịu ! Nhưng lần sau (nếu có ) thì xin các thầy nói rõ trước trong bài lab là chỉ nộp với tính chất điểm danh thôi để em khỏi mất thời gian ngồi viết lại hết cái đống bùi nhùi mà còn làm chuyện khác nữa ạh ! Em xin cảm ơn !
le phuc,0,12/27/2010,Re:Thắc mắc diem Lab6,"Tên : Lê Duy Phúc MSSV : 50502092 Lớp thực hành: 101B1, GD - Thầy: Trần Vĩnh Tân Xin thầy xem lại cho em điểm lab 6 cho em với, em có đi thực hành buổi đó mà bị 0 điểm."
Pham Quoc Cuong,0,1/21/2011,Thưa Thầy cho em hỏi điểm total cua ass1!,"Em chào Thầy! theo trong gradeBook thì Ass1 s1+s2 của e là 9.4 Ass1 s3 của e là 9.8 => total Ass1 của e phải là 9.6 chứ Thầy, nhưng trong gradeBook chỉ co 9.4. xin Thầy xem lại giùm e. e xem điểm của bạn khác thì ass1 s1s2 9.4 còn ass1 s3 là 9.9 => total là 9.7 MSSV của em là 50800252. Xin Thầy xem lại giùm e. Em cảm ơn Thầy"
_ Apple_,0,1/22/2011,Tính sai điểm assignment 1. Mong thầy giải quyết sớm?,"Em xin lỗi vì đã thông báo trễ. Hôm nay em vào sakai thì phát hiện điểm stage 1 và stage 2 của ass1 thầy đã chấm sai điểm cho em. Điểm trên sakai hoàn toàn khác với 2 nội dung trong file result của thầy. Cụ thể nội dung trong 2 file result như sau: Stage 1 em đúng 86/86 testcase, Stage 2 em đúng 79/86 testcase. Vậy mà điểm em trong phân Gradebook là 0/10. Thật sự em không hiểu tại sao lại có sự khác nhau quá xa như vậy. MSSV của em là 50801308. Mong thầy giải quyết nhanh giúp em. Thật sự em quá bất ngờ vì sự việc trên. Em cảm ơn."
Nevermore,0,1/10/2011,Thắc mắc cú pháp try...catch tron đề thi cuối kỳ!,"Chào thầy. Em có một thắc mắc về cú pháp try...cacth trong câu 2b, đề thi cuối kì. Trong đề có đề cập đến hàm sau: int f(int x) { if (x==0) return 1; else if (x==1) throw E; else if (x==2) return f(1); else try {return f(x-1);} catch E {return x+1;} }; Ở đây từ khóa 'throw' không được đặt trong một try...catch() và hàm f cũng không ""throw exception"" Nếu hiểu throw đặt trong try...catch như sau (code JAVA) static int f(int x) { try { if (x == 0) return 1; else if (x == 1) throw new Exception(); else if (x == 2) return f(1); else return f(x - 1); } catch (Exception e) { return x + 1; } } thì kết quả ra bằng 2; Còn nếu hiểu f quăng exception như sau static int f(int x) throws Exception { if (x == 0) return 1; else if (x == 1) throw new Exception(); else if (x == 2) return f(1); else try { return f(x - 1); } catch (Exception e) { } return x+1; } thì kết quả bằng 4. Vậy đáp án đúng là gì thưa thầy?"
Phúc Trần Mỹ,0,1/10/2011,Thắc mắc cú pháp try...catch tron đề thi cuối kỳ!,"Nevermore  wrote: Chào thầy. Em có một thắc mắc về cú pháp try...cacth trong câu 2b, đề thi cuối kì. Trong đề có đề cập đến hàm sau: int f(int x) { if (x==0) return 1; else if (x==1) throw E; else if (x==2) return f(1); else try {return f(x-1);} catch E {return x+1;} }; Ở đây từ khóa 'throw' không được đặt trong một try...catch() và hàm f cũng không ""throw exception"" Nếu hiểu throw đặt trong try...catch như sau (code JAVA) static int f(int x) { try { if (x == 0) return 1; else if (x == 1) throw new Exception(); else if (x == 2) return f(1); else return f(x - 1); } catch (Exception e) { return x + 1; } } thì kết quả ra bằng 2; Còn nếu hiểu f quăng exception như sau static int f(int x) throws Exception { if (x == 0) return 1; else if (x == 1) throw new Exception(); else if (x == 2) return f(1); else try { return f(x - 1); } catch (Exception e) { } return x+1; } thì kết quả bằng 4. Vậy đáp án đúng là gì thưa thầy? Bài tập này thầy lấy từ sách : http://www.box.net/shared/frxli31njf trang 209 bạn xem thử đi Đã có người thử ví dụ trên tại : http://translate.google.com.vn/translate?hl=vi&sl=auto&tl=en&u=http%3A%2F%2Fit-comp.confusenet.com%2Fshowthread.php%3Ft%3D130304%26s%3D0f35892cbfb21326842110790a7998d3 Chúc vui vẻ"
Hai MV,0,1/8/2011,Bài giải tuần 15 !,"Chào thầy, cho em hỏi về bài giải tuần 15 môn Nguyên lý NN Lập trình 1 chút ạ : Trong question 1, câu a, hàm sub3 , tại sao biến b:real là Local tại sao còn là Non-Local & cả Global luôn ạ ? còn câu b, ô cuối cùng thì Global là a:obj1 và sub1 , nhưng có biến b không ạ và nếu có thì là obj mấy ạ ? Trong Question 5, câu b thì mình vẽ cả 3 hình hay chỉ vẽ hình đầu tiên ?  Vì hình đầu tiên đã bao gồm câu lệnh (**) mà không cần rút đệ qui hoàn  chỉnh ! Mong thầy hồi âm sớm ! Em cảm ơn thầy."
Thien Nguyen Hieu,0,1/18/2011,Hỏi về điểm lab/exercise,Thầy cho e hỏi điểm lab/exer là tổng điểm có được chia 11 ra chính xác hay thầy có châm chước cho cách tính khác không ạ.:D
