Long Nguyễn,1,11/6/2011,Nộp bài cho rồi,"Thầy đi Thái rồi, để lại nhiều thắc mắc bỏ ngỏ. Sinh viên tự mò và tự đưa ra chuẩn cho mình. Thôi thì cũng tới hạn rồi, thời gian còn lại chắc thầy cũng không xuất hiện đâu. Nộp bài luôn cho khoẻ. Dĩ nhiên thêm phần cầu trời nữa."
Sieutoc,1,11/6/2011,Re:Nộp bài cho rồi,OK đồng ý. Mình cũng nộp bài luôn đây. Ngày mai con đi GSC nữa.
Quái,1,12/21/2011,Chia cho 0?!?,"Các bạn cho mình hỏi có sử lý trường hợp chia cho 0 không vậy?? Còn nữa, về việc ép kiểu, thì như thế nào thì đúng??? Integer = real => OK real = integer => faild hay là, Integer = real => faild real = integer => OK"
Bernkastel 奇跡の魔女,1,12/21/2011,Re:Chia cho 0?!?,"Làm cái gì có trong đặc tả thôi bạn, còn cái real int thì ""In Crazy, just the integer can coerce to the real."" - real = integer đúng."
V For,1,12/21/2011,Re:Lỗi của String,"var a: string; procedure duyTien(); begin a := '2'; end; parser input bằng file PT của mình nó ra thế này, rồi dùng nó làm input cho ass2 thì đc kq: [var(a,string),proc(duyTien,[],[assign(a, ""'2'"" )])] Program(List(Var(a,PrimitiveType(string)), Proc(duyTien,List(),Block(List(Assign(Id(a),StringLit(""'2'""))))))) -----Var----- -----Proc----- Type Mismatch In Statement: assign(a,""'2'"") Còn nếu dùng file PT của thầy thì [var(a,string),proc(duyTien,[],[assign(a,string( """"'2'"""" ))])] Exception in thread ""main"" java.lang.RuntimeException: No result when parsing failed at scala.sys.package$.error(package.scala:27) at scala.util.parsing.combinator.Parsers$NoSuccess.get(Parsers.scala:141) at scala.util.parsing.combinator.Parsers$NoSuccess.get(Parsers.scala:130) at Main$.main(Main.scala:10) at Main.main(Main.scala) Bạn xem thử."
xuan vinh,1,12/23/2011,lab 6 sol,hiện tại vẫn chưa thấy giảng viên upload solution lab 6 lên. mong thầy sớm upload để tụi em có cái để ôn thi thank
Cơn Mưa Tình Yêu,1,12/25/2011,Re:lab 6 sol,"Bây giờ là gần 23h00 ngày 25/12. Tức còn khoảng 1 ngày, 14 giờ, 20 phút là đến thời điểm thi cuối kỳ PPL mà hiện tại vẫn chưa thấy Solution Lab 6 trong Module. Mong thầy up lên nhanh giúp vì nội dung thi có những cái này. Thanks thầy nhiều!"
Forever Alone,1,12/19/2011,Mong anh Hùng phổ biến rõ hơn về vấn đề Function Not Return,"vanhoa  wrote: 1>0 vẫn là true :))Thựcchấtstaticcheckcũngbaogồmnhữngcáinàynữa,tuỳvàongườiđịnhnghĩathôi,VDnhưmấycáiIDEjavađó,netbeans hoặcEclipsechẳnghạn,nóvẫncheckmấycáiđóđó :D Cái này a Hùng bảo làm chứ nếu không thì ass này đơn giản quá, còn có test hay ko thì mình ko rõ :)) Theo ý của bạn Hòa (bên topic ""Function Not Return"") thì khi xét Function Not Return thì phải tính xem những điều kiện của loop, while và if có chắc chắn đúng hay không.Hòa nói anh Hùng bảo làm nhưng có vẻ như chỉ bảo với 1 nhóm nhỏ chứ chưa phổ biến cho toàn thể sinh viên. Mong anh Hùng làm rõ vấn đề này giúp bọn em. Em cám ơn."
Thanh Pham Minh,1,12/20/2011,Mong anh Hùng phổ biến rõ hơn về vấn đề Function Not Return,Ngôn ngữ Crazy có tính kiểu short-circuit không thầy? Với x là biến thì biểu thức (true or x) được xem là true luôn hay vẫn phải xét tiếp x?
M.U.,1,12/21/2011,"cách xử lý integer, real, boolean, string","Mý bạn có thể cho mình hướng xử lý mý cái này dc ko, mình cám ơn,"
V For,1,12/21/2011,"cách xử lý integer, real, boolean, string","M.U.  wrote: Mý bạn có thể cho mình hướng xử lý mý cái này dc ko, mình cám ơn, 1. Kiểm tra kiểu nào được thao tác tren phép toán nào.' def KiemTraKieu1(op: string, expr: Expr){ nếu op == ""bnot"" thì expr fai là boolean ... } 2. Kiểm tra ứng với kiểu đó, kết quả trả về của phép toán là ji boolean and boolean => boolean"
M.U.,1,12/21/2011,"cách xử lý integer, real, boolean, string","tran ngoc duc wrote: M.U.  wrote: Mý bạn có thể cho mình hướng xử lý mý cái này dc ko, mình cám ơn, 1. Kiểm tra kiểu nào được thao tác tren phép toán nào.' def KiemTraKieu1(op: string, expr: Expr){ nếu op == ""bnot"" thì expr fai là boolean ... } 2. Kiểm tra ứng với kiểu đó, kết quả trả về của phép toán là ji boolean and boolean => boolean cám ơn bạn nhìu"
Đỗ Sỹ Hưng,1,12/3/2011,Cách biên dịch Prolog trong Eclipse,"Bước 1: Cài SWI-Prolog. 1. Vô trang http://www.swi-prolog.org/download/stable , download file SWI - Prolog 5.10.5. 2. Chạy file tải về để cài. 3. Set biến PATH: 3.1 Windows 7: Nhấp phải Computer -> Properties -> Advanced system settings -> Tab Advance -> Enviroment Variables... Windows XP: Nhấp phải Computer -> Properties -> Tab Advance -> Enviroment Variables... 3.2 Chọn biến PATH trong System variables -> Edit... -> thêm dòng %prolog%\bin (%prolog% là thư mục cài đăt SWI-Prolog nha). 3.3 Khởi động lại máy. Bước 2: Cài đặt tool Prolog cho Eclipse 1. Chạy Eclipse -> Help -> Install New Software... -> Add. 2. Mục Name để tên nào cũng được ^^ (mình để là Prolog >""<), mục Location thì copy đường link sauhttp://sewiki.iai.uni-bonn.de/public-downloads/update-site/ 3. Nhấp OK 4. Mở rộng 2 nhánh ""Program Analysis and Transformation"" với ""Prolog Development Tool (PDT)"" 5. Chọn 2 mục ""JTransformer"" và ""Prolog Development Tools"". 6. Nhấp Next và cài thôi :D Cách sử dụng: 1. Tạo 1 empty project: File -> New -> Project... -> General -> Project -> Next -> Đặt tên project -> Finish 2. Nhấp phải tên project -> New -> File -> đặt tên file có phần mở rộng là .pl (vd: Demo.pl) 3. Viết code trong file vừa tạo -> save file (phải save trước nha) 4. Từ menu Prolog -> Prolog Console 5. Để build file Prolog, chọn Prolog -> (re)consult -> xuất hiện mấy cái predicate trong cửa sổ Outline (nếu nó không xuất hiện là bị lỗi đó) 6. Trong cửa sổ Project Console, mình viết mấy câu query thôi ^^ 7. còn để debug thì gõ ""noguitracer."", rồi gõ theo cú pháp ""trace, p(X, Y, Z)."" Link: http://sewiki.iai.uni-bonn.de/research/pdt/start P/S: Cái này mình mới tìm ra, chia sẻ cho anh em ^^"
Nhan Nguyen Van,1,12/21/2011,"Return String, Array","Thấy cho em hỏi. Trong đặc tả có đoạn như thế này: For a return statement, the return expression can be considered as RHS of an implicit assignment whose LHS is the return type . For an assignment statement, the LHS can be in real, integer or boolean type . The right-hand side (RHS) is either in the same type as that of the LHS or in the type that can coerce to the LHS type. In Crazy, just the integer can coerce to the real. Vậy nếu xem kiểu trả về như là một LHS thì kiểu trả về chỉ có thể là real, integer hoặc boolean. Không được trả về kiểu string hay array đúng không ạ? For a call statement, the callee must be in procedure type and the number of arguments must be equal to that of callee parameters. In addition, for parameter passing, the rule for an assignment is applied to parameter passing where a parameter is considered as the LHS and the corresponding argument is the RHS. Tương tự, parameter có thể là kiểu string không?"
M.U.,1,12/21/2011,TestCase này mình ko hiểu ?,"Test44 của bạn vanhoa như sau: proceduremain(); begin vararrVar:array[2]ofstring; arrVar:=['1';'2']; arrVar[1]:='13'; end; [proc(main,[],[var(arrVar,arr([2],string)),assign(arrVar,array([string(""'1'""),string(""'2'"")])),assign(ele(arrVar,[1]),string(""'13'""))])] Program(List(Proc(main,List(),Block(List(Var(arrVar,Arr(List(IntLit(2)),PrimitiveType(string))), Assign(Id(arrVar),ArrayLit(List(StringLit(""'1'""), StringLit(""'2'"")))), Assign(Ele(arrVar,List(IntLit(1))), UnaryOp (string,StringLit(""'13'"")))))))) Mình ko hiểu cái UnaryOp, tại sao lại có và các vấn đề liên quan đến nó, mý bạn có thể giải thích giúp mình theo testcase ở trên ko, mình cám ơn rất nhiều."
Huỳnh Tiến Tài,1,12/21/2011,Re:TestCase này mình ko hiểu ?,Bởi vì file PT mới của thầy có định nghĩa thêm Unary Op của string. Nhưng bạn cứ theo đặc tả mà làm. Sẽ k có op cho string. Đơn giản vậy thui. Còn thầy đã nhấn mạnh là "PT chỉ để ta test bài nó sẽ k liên quan đến kết quả ta sẽ chạy để chấm trong ass này"
M.U.,1,12/21/2011,Re:TestCase này mình ko hiểu ?,cám ơn bạn nhìu
